episode_id,predicted_task,instruction
episode28,place_container_plate,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the container with the bowl with deep black hollow, then place it onto the medium plate for food."
episode29,pick_dual_bottles,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Hold the grooved orange drink bottle in one arm, the medium bottle with smooth texture in the other."
episode30,put_bottles_dustbin,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick the cylindrical yellow bottle for holding liquids, the bottle with ribbed design, and the hand-sized drinking bottle one at a time and put them into the trash bin."
episode31,place_mouse_pad,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Slide the the mouse with curved ergonomic shape onto the Gray mat gently."
episode32,stack_bowls_two,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to the blue bowl with slightly rounded base goes at the bottom, the rounded bowl with light blue color rests above."
episode33,put_object_cabinet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull open the cabinet with metal reinforcements's drawer and place the rectangular yellow tea box inside."
episode34,place_burger_fries,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the golden brown and white hamburg and the small red fries packet, then put them on the tray with rounded rectangular shape"
episode35,stack_bowls_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use arms to place each the medium-sized bowl for holding food atop the previous one."
episode36,pick_dual_bottles,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift both the medium dark brown bottle and the ridged orange bottle with grooves simultaneously."
episode37,place_empty_cup,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Move the cylindrical light blue cup to the small coaster with grain texture and set it down."
episode38,place_shoe,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the medium-sized adult shoe with the right arm from the table and place it on the mat"
episode39,blocks_ranking_rgb,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to First, place red block, then green block beside it, and finally blue block next to green block."
episode40,place_a2b_right,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Bring the black stapler with rectangular base to the right position of the rounded rectangular blue soap bar."
episode41,blocks_ranking_rgb,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Position red block, green block, and blue block on a surface from left to right in the order red, green, blue."
episode42,move_pillbottle_pad,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick the small brown bottle with white accents with the right arm and position it onto pad"
episode43,put_bottles_dustbin,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the yellow bottle, the bottle with ribbed design, and the bottle with curved body shape and put them sequentially into the trash bin."
episode44,handover_mic,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Hold the microphone with textured metal head firmly and pass it to the other arm."
episode45,place_bread_skillet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the soft golden baked bread and drop it into the dark pan with sturdy grip"
episode46,put_object_cabinet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Slide open the medium-sized cabinet's drawer and set the smooth tea box with print inside."
episode47,handover_block,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Move the red block using the left arm."
episode48,grab_roller,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the medium roller with narrower tips from the table carefully."
episode49,press_stapler,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Apply force to the small office stapler to staple."
episode50,click_bell,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Command the left arm to press the bell with circular body's top."
episode51,place_a2b_right,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Using the right arm, position the compact box for playing cards to the right of the stapler in bright red color."
episode52,stamp_seal,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to the left arm picks the plastic red and black seal, stamps Beige"
episode53,adjust_bottle,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Carefully grab the plastic drink bottle head-up"
episode54,handover_mic,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grasp the long microphone with smooth teal grip and shift it to the opposite hand."
episode55,place_a2b_left,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to With the right arm, stick the small blue and brown bell left of the phone with camera lens at back"
episode56,place_empty_cup,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the rounded base blue cup and place it over the wooden coaster."
episode57,place_object_scale,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the bell with metallic top and plastic base and set it on the black and white electronicscale"
episode58,put_bottles_dustbin,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to With arms, place the green-striped cap on yellow bottle, the cylindrical bottle, and the plastic bottle with red cap into the medium-sized black plastic dustbin step by step."
episode59,lift_pot,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Securely lift the metal kitchenpot together"
episode60,place_empty_cup,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Carefully place the light blue plastic cup onto the flat round wooden coaster without arm"
episode61,place_empty_cup,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the cup with light blue color and place it onto the smooth round palm-sized coaster."
episode62,move_playingcard_away,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Take the box for playingcards and place it beyond the table."
episode63,place_mouse_pad,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the plastic mouse and move it onto the Blue mat."
episode64,pick_diverse_bottles,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the medium dark brown bottle and the smooth green plastic bottle one by one."
episode65,pick_diverse_bottles,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab and hold the bottle with green cap, then grab the yellow text bottle."
episode66,shake_bottle_horizontally,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the medium-sized green bottle using the right arm and shake sideways."
episode67,open_laptop,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the right arm to raise the hinged laptop with screen and base."
episode68,adjust_bottle,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the long thin bottle from the table upright"
episode69,hanging_mug,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use your left arm to grab the drinking mug with smooth body, rotate it, set it down, then hang on the angular rack with slanted support rod."
episode70,adjust_bottle,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick the smooth bottle with red lid head-up using the right arm"
episode71,beat_block_hammer,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to With the right arm, grab the silver curved hammer head and beat the block."
episode72,move_playingcard_away,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Shift the box for playingcards outward by grabbing it with the left arm."
episode73,place_burger_fries,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the hamburg box with lid, lift the Handheld fries pack bright red color, then set both on the medium rectangular flat tray."
episode74,move_can_pot,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm to take the white label brown lidded can to the black kitchenpot with flat lid"
episode75,place_can_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the metallic red beverage can, drop it into the basket with black handle, then carry the basket with black handle."
episode76,stack_blocks_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm, the left arm, and the right arm to move red block, green block, and blue block to the center, then stack blue block on green block and green block on red block."
episode77,place_phone_stand,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Put the glass and metal smartphone atop the compact plastic phonestand."
episode78,stack_blocks_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Centralize red block, green block, and blue block before stacking blue block on green block and green block on red block."
episode79,blocks_ranking_size,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Shift large block, medium block, and small block to the table's center and sort by size."
episode80,stack_blocks_two,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Place red block and green block centrally, then stack green block on red block."
episode81,put_object_cabinet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull open the gray and wood cabinet's drawer and place the white stapler with rounded design inside it."
episode82,place_can_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the beverage can with printed label, set it inside the rectangular basket with smooth surface, then lift the rectangular basket with smooth surface."
episode83,handover_block,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick the red block up with the left arm, hand it to the right arm, and set it on the blue pad."
episode84,shake_bottle,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the right arm to pick and shake the dark drink bottle with logo."
episode85,hanging_mug,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Take the colorful cartoon mug with one arm, rotate it, and hang it onto the rack with two rods sticking out."
episode86,put_bottles_dustbin,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the yellow bottle with smooth texture, drop it in the black garbage bin, do the same for the cylindrical bottle and the drink bottle with slim neck."
episode87,stack_blocks_two,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm to move red block and the left arm to stack green block."
episode88,move_playingcard_away,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the playingcards box with white symbols and move it farther outward."
episode89,place_cans_plasticbox,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use both arms to move the rounded red Coca-Cola soda container and the small aluminum red drink can into the plasticbox with smooth plastic texture."
episode90,beat_block_hammer,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick the hammer for nails and strike the block."
episode91,place_object_stand,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab and move the bright blue toycar to position it on the medium black plastic displaystand."
episode92,hanging_mug,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Take the hand-sized black mug from the table, rotate it, place it in the center, then hang it onto the metallic angular rack with rod pair."
episode93,place_a2b_right,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Ensure the smooth dark gray computer mouse is placed on the right of the rubikscube cube shape."
episode94,place_cans_plasticbox,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the arms to transfer the can with sealed gold top and the drink can with light brown shade into the plasticbox with smooth plastic texture."
episode95,beat_block_hammer,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the silver curved hammer head, then beat the block."
episode96,stack_bowls_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Place three the glazed bowl with curved sides on top of each other."
episode97,pick_dual_bottles,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the dark drink bottle with logo and the smooth green plastic bottle using separate hands."
episode98,place_fan,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the portable white fan and place it on the Coral mat ensuring it faces the robot."
episode99,move_playingcard_away,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to With the left arm, pick up the blue pack holding playingcards and slide it outward."
episode100,shake_bottle,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Hold and shake the the smooth cylindrical bottle carefully."
episode101,place_object_scale,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Place the blue stapler with shiny silver parts carefully on the handheld electronicscale using the right arm"
episode102,move_playingcard_away,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the blue pack holding playingcards using the left arm and transfer it outward."
episode103,stack_bowls_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab the first the rounded bowl with light blue color, position the second, then add the third."
episode104,stack_bowls_two,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grasp the rounded bowl with light blue color, then use the arm to align and stack the curved bowl light blue shade."
episode105,place_fan,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to With the right arm, grab the portable white fan and position it on the Silver mat facing the robot"
episode106,stack_bowls_two,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the glazed bowl with curved sides and position it neatly over the ceramic bowl."
episode107,stack_bowls_three,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Position the first the blue bowl, and sequentially add the two above it."
episode108,place_shoe,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Take the shoe with lace holes and put it on the mat"
episode109,move_playingcard_away,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the compact red playingcards pack and relocate it off the table."
episode110,place_cans_plasticbox,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Place the small soda can with lime graphics into the durable plasticbox with side handle, then lift the red can with smooth metallic texture and set it into the durable plasticbox with side handle."
episode111,rotate_qrcode,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the beige paymentsign with printed details and rotate it so the QR code faces you"
episode112,lift_pot,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Bring the medium kitchenpot made of metal up together"
episode113,place_a2b_right,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the right arm to set the mouse for cursor control right of the light gray rectangular cleaning soap."
episode114,beat_block_hammer,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the right arm to grab the hammer with two-tone handle and beat"
episode115,pick_dual_bottles,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the smooth green plastic bottle and the medium bottle with colorful label with separate arms."
episode116,rotate_qrcode,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Catch the paymentsign with angled black stand, lift, and rotate to align the qrcode to you."
episode117,move_stapler_pad,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm and place the blue stapler with black handle area on Gray mat."
episode118,place_dual_shoes,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grab and place two the sports shoe white and black in the orange cardboard shoe-box, tips left."
episode119,move_can_pot,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the sturdy sauce can with glossy finish and place it next to the gray kitchenpot"
episode120,grab_roller,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Grip the medium roller with narrower tips firmly with arms."
episode121,place_can_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pick up the red soda can with green accents, place it in the basket for carrying things, and then lift the basket for carrying things."
episode122,place_a2b_left,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm to move the cuboid tea box to the left of the oval-shaped mouse for computer use."
episode123,place_object_scale,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the left arm to hold the small blue and brown bell and drop it on the compact electronicscale"
episode124,handover_mic,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Hold the medium microphone with two-tone color firmly and pass it to the other arm."
episode125,place_empty_cup,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use an arm to place the smooth blue cup for liquids on the coaster made of smooth wood"
episode126,open_laptop,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the folding laptop with black exterior lid completely."
episode127,scan_object,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Use the right arm to pick the compact black scanner for easy grip, use the left arm to grab the small box with golden patterns, and scan the small box with golden patterns with the compact black scanner for easy grip."
episode128,place_phone_stand,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Move the thin metallic phone onto the smooth brown phone holder."
episode129,stack_bowls_two,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Align the rounded bowl with light blue color over the bowl with brown outer rim, then complete the stack."
episode130,place_can_basket,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Take the cylindrical red drink can with logo in the right arm, place it into the basket for carrying things, another arm lifts the basket for carrying things."
episode131,shake_bottle_horizontally,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Secure the smooth bottle with rounded edges with the left arm, shake in horizontal motion."
episode132,scan_object,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to the right arm picks the yellow tea box with smooth surface, the left arm grabs the barcode scanner with gray accents, and scans the yellow tea box with smooth surface with the barcode scanner with gray accents."
episode133,shake_bottle_horizontally,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Lift the smooth plastic bottle and shake it horizontally."
episode134,open_microwave,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull the handle of the gray microwave with two control knobs to open it."
episode135,place_empty_cup,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Set the smooth blue cup for liquids carefully onto the round coaster"
episode136,put_object_cabinet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull open the gray and wood cabinet's drawer and place the mouse with curved top inside."
episode137,handover_mic,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Hold the microphone with cylindrical handle firmly and pass it to the other arm."
episode138,blocks_ranking_size,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Place large block, medium block, and small block at the center and sort them from largest to smallest."
episode139,open_microwave,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Pull the handle to open the gray and yellow microwave with rounded edges."
episode140,put_object_cabinet,"In a fixed robotic workspace, generate a rigid, physically consistent embodied robotic arm. The arm maintains high stability with no deformation and enters the frame to Open the drawer of the cabinet with metal reinforcements and move the computer mouse into it."
